amenity,name,lon,lat,coordinates
kindergarten,Kindergarten Grosswiesen II,8.5878317,47.4034999,"(8.5878317 , 47.4034999)"
kindergarten,Kindergarten Am Glattbogen,8.5667165,47.412364,"(8.5667165 , 47.412364)"
school,Kindergarten Roswiesen,8.5807102,47.4075536,"(8.5807102 , 47.4075536)"
school,"Morgentisch, Mittag-/Abendhort Kronwiesen",8.5812465,47.4044445,"(8.5812465 , 47.4044445)"
kindergarten,Kindergarten Mattenhof I,8.592357,47.3992144,"(8.592357 , 47.3992144)"
kindergarten,Mittag-/Abendhort Graphis 1,8.5806366,47.4021036,"(8.5806366 , 47.4021036)"
kindergarten,"Morgentisch, Mittag-/Abendhort Heideggerweg",8.5636704,47.4076597,"(8.5636704 , 47.4076597)"
kindergarten,Mittag-/Abendhort Kirchenacker,8.5535105,47.4097321,"(8.5535105 , 47.4097321)"
kindergarten,Mittag-/Abendhort Magdalenenstrasse,8.5535984,47.4068578,"(8.5535984 , 47.4068578)"
kindergarten,"Morgentisch, Mittag-/Abendhort Buchwiesen1 - 4",8.5401435,47.4276808,"(8.5401435 , 47.4276808)"
kindergarten,Mittag-/Abendhort Buhn 3,8.5409271,47.4201569,"(8.5409271 , 47.4201569)"
kindergarten,"Morgentisch, Mittag-/Abendhort Katzenbach 1 + 2",8.5465239,47.4231167,"(8.5465239 , 47.4231167)"
kindergarten,Mittag-/Abendhort Bernina,8.5460627,47.4029317,"(8.5460627 , 47.4029317)"
kindergarten,Mittaghort Holderbach 2,8.4990492,47.4231995,"(8.4990492 , 47.4231995)"
kindergarten,"Morgentisch, Mittag-/Abendhort Isengrind",8.513305,47.4232001,"(8.513305 , 47.4232001)"
kindergarten,Mittaghort GZ Affoltern,8.5107835,47.4246021,"(8.5107835 , 47.4246021)"
kindergarten,Mittag-/Abendhort Wolfswinkel 1 + 2,8.5150881,47.4239473,"(8.5150881 , 47.4239473)"
kindergarten,Mittag-/Abendhort Kolbenacker F,8.5515644,47.4259048,"(8.5515644 , 47.4259048)"
kindergarten,Kindergarten Holunderhof I + II,8.5366004,47.4092853,"(8.5366004 , 47.4092853)"
kindergarten,Mittag-/Abendhort Affoltern 1 + 2,8.5335123,47.4113173,"(8.5335123 , 47.4113173)"
kindergarten,"Morgentisch, Mittag-/Abendhort Maienstrasse",8.5289835,47.4102547,"(8.5289835 , 47.4102547)"
kindergarten,Mittag-/AbendhortFrohheim,8.5124813,47.4162485,"(8.5124813 , 47.4162485)"
kindergarten,"Morgentisch, Mittag-/Abendhort In Böden 1 + 2",8.5098962,47.4183102,"(8.5098962 , 47.4183102)"
kindergarten,Mittag-/Abendhort Ruggächer 3,8.5016831,47.4250376,"(8.5016831 , 47.4250376)"
kindergarten,Kindergarten Am Wasser,8.5042809,47.3961615,"(8.5042809 , 47.3961615)"
kindergarten,Kindergarten Hardturmpark,8.5089938,47.3914575,"(8.5089938 , 47.3914575)"
