abkuerzung,bezeichnung,bis,fk_zaehler,richtung_in,richtung_out,von,easting,northing,easting_wgs,northing_wgs
VZS_LUXG,Lux-Guyer-Weg,2019-03-07T12:00:00,ECO08011668,Innenstadt,Wipkingen,2018-12-20T12:00:00,2682932.904,1248820.841,8.536954066,47.38499778
VZS_SCHE,Scheuchzerstrasse,2019-03-07T12:00:00,ECO06040592,Innenstadt,Irchel,2018-12-20T12:00:00,2683572.899,1248544.836,8.545377225,47.3824347
VZS_MYTH,Mythenquai,2019-03-07T12:00:00,ECO07091438,Innenstadt,Wollishofen,2018-12-21T12:00:00,2682872.887,1245890.836,8.535616911,47.35865468
VZS_BERT,Bertastrasse,2019-03-08T12:00:00,ECO07111527,Wiedikon,Aussersihl,2018-12-21T12:00:00,2681384.899,1247735.846,8.516258218,47.37543305
VZS_SIHL,Sihlpromenade,2019-03-08T12:00:00,ECO07101504,Innenstadt,Saalsporthalle,2018-12-21T12:00:00,2682374.89,1247054.837,8.529239885,47.36918545
VZS_BERT,Bertastrasse,2019-09-09T02:08:26,ECO09113506,Wiedikon,Aussersihl,2019-03-08T12:00:00,2681384.899,1247735.846,8.516258218,47.37543305
VZS_SIHL,Sihlpromenade,2019-09-09T02:08:26,ECO09113503,Innenstadt,Saalsporthalle,2019-03-08T12:00:00,2682374.89,1247054.837,8.529239885,47.36918545
VZS_SCHE,Scheuchzerstrasse,2019-07-03T12:00:00,ECO09113501,Innenstadt,Irchel,2019-03-07T12:00:00,2683572.899,1248544.836,8.545377225,47.3824347
VZS_LUXG,Lux-Guyer-Weg,2019-09-09T02:08:26,ECO09022739,Innenstadt,Wipkingen,2019-03-07T12:00:00,2682932.904,1248820.841,8.536954066,47.38499778
VZS_MYTH,Mythenquai,2019-09-09T02:08:26,ECO09113499,Innenstadt,Wollishofen,2019-03-07T12:00:00,2682872.887,1245890.836,8.535616911,47.35865468
VZS_ZOLL,Zollstrasse,2019-09-09T02:08:26,Y2H19070283,Langstrasse,Sihlquai,2019-07-23T08:15:00,2682944.768,1248225.036,8.537000727,47.37963801
