,name,lon,lat,city,postcode,street,coordinates,isin_kreis_1,isin_kreis_2,isin_kreis_3,isin_kreis_4,isin_kreis_5,isin_kreis_6,isin_kreis_7,isin_kreis_8,isin_kreis_9,isin_kreis_10,isin_kreis_11,isin_kreis_12,parent
842,Coop Puls 5,8.5183213,47.3907031,Zürich,8005,Giessereistrasse,"(8.5183213 , 47.3907031)",False,False,False,False,True,False,False,False,False,False,False,False,Coop
913,Lidl,8.5456832,47.4103223,Zürich,8050,Ohmstrasse,"(8.5456832 , 47.4103223)",False,False,False,False,False,False,False,False,False,False,True,False,Lidl
914,Coop Dorflinde,8.5491079,47.407567,Zürich,8050,Schwamendingenstrasse,"(8.5491079 , 47.407567)",False,False,False,False,False,False,False,False,False,False,True,False,Coop
940,Coop Witikon,8.5947159,47.3602011,Zürich,8053,Witikonerstrasse,"(8.5947159 , 47.3602011)",False,False,False,False,False,False,True,False,False,False,False,False,Coop
944,Migros Toblerplatz,8.5594679,47.3793846,Zürich,8044,Toblerstrasse,"(8.5594679 , 47.3793846)",False,False,False,False,False,False,True,False,False,False,False,False,Migros
948,Spar,8.546437300000001,47.402792100000006,Zürich,8057,Schaffhauserstrasse,"(8.5464373 , 47.4027921)",False,False,False,False,False,False,False,False,False,False,True,False,Spar
959,Lian Hua Asia Grocery Store,8.547921,47.404084600000004,Zürich,8057,Schaffhauserstrasse,"(8.547921 , 47.4040846)",False,False,False,False,False,False,False,False,False,False,True,False,Other
960,Coop Mühlackerstrasse,8.4969763,47.4256283,Zürich,8046,Mühlackerstrasse,"(8.4969763 , 47.4256283)",False,False,False,False,False,False,False,False,False,False,True,False,Coop
968,Aldi Suisse,8.556656199999999,47.41943679999999,Zürich,8052,Schärenmoosstrasse,"(8.5566562 , 47.4194368)",False,False,False,False,False,False,False,False,False,False,True,False,Aldi
1005,Spar,8.5878428,47.400032,Zürich,8051,Dübendorfstrasse,"(8.5878428 , 47.400032)",False,False,False,False,False,False,False,False,False,False,False,True,Spar
1086,Denner,8.530718199999999,47.3444645,Zürich,8038,Etzelstrasse,"(8.5307182 , 47.3444645)",False,True,False,False,False,False,False,False,False,False,False,False,Migros
1105,Coop Römerhof,8.560805300000002,47.3678218,Zürich,8032,Klosbachstrasse,"(8.5608053 , 47.3678218)",False,False,False,False,False,False,True,False,False,False,False,False,Coop
1120,Migros Witikon-Zentrum,8.5856445,47.3592199,Zürich,8053,Witikonerstrasse,"(8.5856445 , 47.3592199)",False,False,False,False,False,False,True,False,False,False,False,False,Migros
1121,Denner,8.5863177,47.3584946,Zürich,8053,Witikonerstrasse,"(8.5863177 , 47.3584946)",False,False,False,False,False,False,True,False,False,False,False,False,Migros
1164,Lidl,8.5852897,47.4077419,Zürich,8051,Ueberlandstrasse,"(8.5852897 , 47.4077419)",False,False,False,False,False,False,False,False,False,False,False,True,Lidl
1201,Coop Hofwiesenstrasse,8.5445995,47.4112061,Zürich,8050,Hofwiesenstrasse,"(8.5445995 , 47.4112061)",False,False,False,False,False,False,False,False,False,False,True,False,Coop
1273,Spar,8.5569289,47.370276000000004,Zürich,8032,Dolderstrasse,"(8.5569289 , 47.370276)",False,False,False,False,False,False,True,False,False,False,False,False,Spar
1274,Denner,8.5029311,47.36922070000001,Zürich,8055,Birmensdorferstrasse,"(8.5029311 , 47.3692207)",False,False,True,False,False,False,False,False,False,False,False,False,Migros
1275,Migros Wiedikon M-Märt,8.508444500000001,47.3702412,Zürich,8055,Birmensdorferstrasse,"(8.5084445 , 47.3702412)",False,False,True,False,False,False,False,False,False,False,False,False,Migros
1276,Denner,8.508714999999999,47.370239,Zürich,8055,Birmensdorferstrasse,"(8.508715 , 47.370239)",False,False,True,False,False,False,False,False,False,False,False,False,Migros
1306,Coop Bärengasse,8.5371556,47.3702516,Zürich,8001,Bärengasse,"(8.5371556 , 47.3702516)",True,False,False,False,False,False,False,False,False,False,False,False,Coop
1348,VOI Witikon,8.593904,47.3599127,Zürich,8053,Loorenstrasse,"(8.593904 , 47.3599127)",False,False,False,False,False,False,True,False,False,False,False,False,Migros
1349,Migros Höngg,8.4973179,47.4037862,Zürich,8049,Regensdorferstrasse,"(8.4973179 , 47.4037862)",False,False,False,False,False,False,False,False,False,True,False,False,Migros
1386,Coop Wiedikon,8.5158561,47.3707927,Zürich,8003,Birmensdorferstrasse,"(8.5158561 , 47.3707927)",False,False,True,False,False,False,False,False,False,False,False,False,Coop
1395,Coop Gutstrasse,8.5023375,47.37374929999999,Zürich,8047,Gutstrasse,"(8.5023375 , 47.3737493)",False,False,False,False,False,False,False,False,True,False,False,False,Coop
1443,Coop Lindenplatz,8.4854662,47.3875596,Zürich,8048,Lindenplatz,"(8.4854662 , 47.3875596)",False,False,False,False,False,False,False,False,True,False,False,False,Coop
1533,Coop Altstetten,8.488920599999998,47.387410100000004,Zürich,8048,Badenerstrasse,"(8.4889206 , 47.3874101)",False,False,False,False,False,False,False,False,True,False,False,False,Coop
1557,Coop Europaallee,8.534719500000001,47.377731299999994,Zürich,8004,Europaallee,"(8.5347195 , 47.3777313)",False,False,False,True,False,False,False,False,False,False,False,False,Coop
1561,Migros Altstetten Neumarkt,8.4875671,47.3882833,Zürich,8048,Altstetterstrasse,"(8.4875671 , 47.3882833)",False,False,False,False,False,False,False,False,True,False,False,False,Migros
1563,Coop Precisa,8.5626146,47.411194099999996,Zürich,8050,Wallisellenstrasse,"(8.5626146 , 47.4111941)",False,False,False,False,False,False,False,False,False,False,False,True,Coop
1644,Coop Westlink,8.4898151,47.392126399999995,Zürich,8048,Vulkanplatz,"(8.4898151 , 47.3921264)",False,False,False,False,False,False,False,False,True,False,False,False,Coop
1718,Denner,8.484888900000001,47.3919775,Zürich,8048,Hohlstrasse,"(8.4848889 , 47.3919775)",False,False,False,False,False,False,False,False,True,False,False,False,Migros
1721,Coop Leimbach,8.514451,47.3261834,Zürich,8041,Leimbachstrasse,"(8.514451 , 47.3261834)",False,True,False,False,False,False,False,False,False,False,False,False,Coop
1751,Aldi Suisse,8.5918795,47.405947999999995,Zürich,8051,Ueberlandstrasse,"(8.5918795 , 47.405948)",False,False,False,False,False,False,False,False,False,False,False,True,Aldi
1813,Coop Letzipark,8.4996784,47.386261600000005,Zürich,8048,Baslerstrasse,"(8.4996784 , 47.3862616)",False,False,False,False,False,False,False,False,True,False,False,False,Coop
1826,VOI Leimbach,8.5152768,47.329774,Zürich,8041,Ankenweid,"(8.5152768 , 47.329774)",False,True,False,False,False,False,False,False,False,False,False,False,Migros
1833,Denner,8.5180317,47.3581515,Zürich,8045,Giesshübelstrasse,"(8.5180317 , 47.3581515)",False,False,True,False,False,False,False,False,False,False,False,False,Migros
1876,Coop Schwellistrasse,8.5377913,47.424962799999996,Zürich,8052,Schwellistrasse,"(8.5377913 , 47.4249628)",False,False,False,False,False,False,False,False,False,False,True,False,Coop
1975,Migros Herdern,8.5086792,47.390106200000005,Zürich,8005,Pfingstweidstrasse,"(8.5086792 , 47.3901062)",False,False,False,False,True,False,False,False,False,False,False,False,Migros
1997,Alnatura Höngg,8.4979498,47.4033485,Zürich,8049,Kappenbühlweg,"(8.4979498 , 47.4033485)",False,False,False,False,False,False,False,False,False,True,False,False,Migros
2009,Otto's Zürich,8.488844699999998,47.387499600000005,Zürich,8048,Badenerstrasse,"(8.4888447 , 47.3874996)",False,False,False,False,False,False,False,False,True,False,False,False,Other
2013,Coop Hardturm Park,8.5081865,47.3911135,Zürich,8005,Pfingstweidstrasse,"(8.5081865 , 47.3911135)",False,False,False,False,True,False,False,False,False,False,False,False,Coop
2042,Migros Leimbach Sihlbogen,8.5189993,47.3360299,Zürich,8041,Leimbachstrasse,"(8.5189993 , 47.3360299)",False,True,False,False,False,False,False,False,False,False,False,False,Migros
2129,Denner,8.530789500000001,47.383295000000004,Zürich,8005,Josefstrasse,"(8.5307895 , 47.383295)",False,False,False,False,True,False,False,False,False,False,False,False,Migros
